ITEM_ID	SENT_ID	SENTENCE	CONDITION	TARGET_WORD
1	0	Olivia bought a German shepherd. The dog was unpredictable and violent. It [MASK] her hand. 	PLAUS_NOCONN	bit
1	1	Olivia bought a German shepherd. The dog was docile and friendly. It [MASK] her hand. 	IMPLAUS_NOCONN	bit
1	2	Olivia bought a German shepherd. The dog was unpredictable and violent. Even so, it [MASK] her hand. 	PLAUS_CONN	bit
1	3	Olivia bought a German shepherd. The dog was docile and friendly. Even so, it [MASK] her hand. 	IMPLAUS_CONN	bit
2	4	Claude rushed back to the restaurant. He had lost his wallet somewhere. He felt incredibly [MASK] all day. 	PLAUS_NOCONN	tense
2	5	Claude rushed back to the restaurant. Thank goodness he found his wallet under the table. He felt incredibly [MASK] all day. 	IMPLAUS_NOCONN	tense
2	6	Claude rushed back to the restaurant. He had lost his wallet somewhere. Even so, he felt incredibly [MASK] all day. 	PLAUS_CONN	tense
2	7	Claude rushed back to the restaurant. Thank goodness he found his wallet under the table. Even so, he felt incredibly [MASK] all day. 	IMPLAUS_CONN	tense
3	8	Charlotte pushed her grocery cart over the potholes. The eggs bounced around in the bag. They [MASK] inside their carton. 	PLAUS_NOCONN	broke
3	9	Charlotte pushed her grocery cart across the parking lot. The eggs had been packed very safely in the bag. They [MASK] inside their carton. 	IMPLAUS_NOCONN	broke
3	10	Charlotte pushed her grocery cart over the potholes. The eggs bounced around in the bag. Even so, they [MASK] inside their carton. 	PLAUS_CONN	broke
3	11	Charlotte pushed her grocery cart across the parking lot. The eggs had been packed very safely in the bag. Even so, they [MASK] inside their carton. 	IMPLAUS_CONN	broke
4	12	The day had been somewhat overcast. All at once it started to rain. Sheila got out her [MASK] from her bag. 	PLAUS_NOCONN	umbrella
4	13	The day had been somewhat overcast. All at once the sun came out. Sheila got out her [MASK] from her bag. 	IMPLAUS_NOCONN	umbrella
4	14	The day had been somewhat overcast. All at once it started to rain. Even so, Sheila got out her [MASK] from her bag. 	PLAUS_CONN	umbrella
4	15	The day had been somewhat overcast. All at once the sun came out. Even so, Sheila got out her [MASK] from her bag. 	IMPLAUS_CONN	umbrella
5	16	Bill was house-sitting. He totally forgot to feed the cat. At the end of the week it was [MASK] for food. 	PLAUS_NOCONN	starving
5	17	Bill was house-sitting. He fed the cat regularly. At the end of the week it was [MASK] for food. 	IMPLAUS_NOCONN	starving
5	18	Bill was house-sitting. He totally forgot to feed the cat. Even so, at the end of the week it was [MASK] for food. 	PLAUS_CONN	starving
5	19	Bill was house-sitting. He fed the cat regularly. Even so, at the end of the week it was [MASK] for food. 	IMPLAUS_CONN	starving
6	20	The legally blind woman had undergone the surgery. The doctor was very optimistic about the results. Her eyesight [MASK] the next day. 	PLAUS_NOCONN	improved
6	21	The legally blind woman had undergone the surgery. The doctor was very disappointed about the results. Her eyesight [MASK] the next day. 	IMPLAUS_NOCONN	improved
6	22	The legally blind woman had undergone the surgery. The doctor was very optimistic about the results. Even so, her eyesight [MASK] the next day. 	PLAUS_CONN	improved
6	23	The legally blind woman had undergone the surgery. The doctor was very disappointed about the results. Even so, her eyesight [MASK] the next day. 	IMPLAUS_CONN	improved
7	24	The dog ran into a busy street. The car was speeding and hit him. The dog was [MASK] badly. 	PLAUS_NOCONN	injured
7	25	The dog ran into a busy street. Luckily, the car swerved and missed him. The dog was [MASK] badly. 	IMPLAUS_NOCONN	injured
7	26	The dog ran into a busy street. The car was speeding and hit him. Even so, the dog was [MASK] badly. 	PLAUS_CONN	injured
7	27	The dog ran into a busy street. Luckily, the car swerved and missed him. Even so, the dog was [MASK] badly. 	IMPLAUS_CONN	injured
8	28	Elizabeth had a history exam on Monday. She took the test and aced it. She went home and [MASK] wildly. 	PLAUS_NOCONN	celebrated
8	29	Elizabeth had a history exam on Monday. She took the test and failed it. She went home and [MASK] wildly. 	IMPLAUS_NOCONN	celebrated
8	30	Elizabeth had a history exam on Monday. She took the test and aced it. Even so, she went home and [MASK] wildly. 	PLAUS_CONN	celebrated
8	31	Elizabeth had a history exam on Monday. She took the test and failed it. Even so, she went home and [MASK] wildly. 	IMPLAUS_CONN	celebrated
9	32	The family was out of town for the weekend. The house-sitter had completely forgotten to water the plants. The plants [MASK] and turned brown. 	PLAUS_NOCONN	wilted
9	33	The family was out of town for the weekend. The house-sitter faithfully remembered to water the plants. The plants [MASK] and turned brown. 	IMPLAUS_NOCONN	wilted
9	34	The family was out of town for the weekend. The house-sitter had completely forgotten to water the plants. Even so, the plants [MASK] and turned brown. 	PLAUS_CONN	wilted
9	35	The family was out of town for the weekend. The house-sitter faithfully remembered to water the plants. Even so, the plants [MASK] and turned brown. 	IMPLAUS_CONN	wilted
10	36	The Broadway star had a solo in the musical. She sang the piece beautifully. The audience [MASK] very loudly. 	PLAUS_NOCONN	applauded
10	37	The Broadway star had a solo in the musical. She sang the piece very badly and off-key. The audience [MASK] very loudly. 	IMPLAUS_NOCONN	applauded
10	38	The Broadway star had a solo in the musical. She sang the piece beautifully. Even so, the audience [MASK] very loudly. 	PLAUS_CONN	applauded
10	39	The Broadway star had a solo in the musical. She sang the piece very badly and off-key. Even so, the audience [MASK] very loudly. 	IMPLAUS_CONN	applauded
11	40	Mackenzie was the new kid in school. The other children began to tease her. She was [MASK] by day's end. 	PLAUS_NOCONN	crying
11	41	Mackenzie was the new kid in school. The other children made her feel welcome. She was [MASK] by day's end. 	IMPLAUS_NOCONN	crying
11	42	Mackenzie was the new kid in school. The other children began to tease her. Even so, she was [MASK] by day's end. 	PLAUS_CONN	crying
11	43	Mackenzie was the new kid in school. The other children made her feel welcome. Even so, she was [MASK] by day's end. 	IMPLAUS_CONN	crying
12	44	Catherine had a test on Tuesday. She received a failing grade. She was [MASK] with the result. 	PLAUS_NOCONN	dismayed
12	45	Catherine had a test on Tuesday. She received the highest grade. She was [MASK] with the result. 	IMPLAUS_NOCONN	dismayed
12	46	Catherine had a test on Tuesday. She received a failing grade. Even so, she was [MASK] with the result. 	PLAUS_CONN	dismayed
12	47	Catherine had a test on Tuesday. She received the highest grade. Even so, she was [MASK] with the result. 	IMPLAUS_CONN	dismayed
13	48	The city officials were brought to court. The judge ruled against them. They were [MASK] immediately. 	PLAUS_NOCONN	imprisoned
13	49	The city officials were brought to court. The judge ruled in their favor. They were [MASK] immediately. 	IMPLAUS_NOCONN	imprisoned
13	50	The city officials were brought to court. The judge ruled against them. Even so, they were [MASK] immediately. 	PLAUS_CONN	imprisoned
13	51	The city officials were brought to court. The judge ruled in their favor. Even so, they were [MASK] immediately. 	IMPLAUS_CONN	imprisoned
14	52	Joe plunked another coin into the slot machine. He spent all of his money trying to win. He was [MASK] by the end. 	PLAUS_NOCONN	poor
14	53	Joe plunked another coin into the slot machine. He kept trying and won the jackpot. He was [MASK] by the end. 	IMPLAUS_NOCONN	poor
14	54	Joe plunked another coin into the slot machine. He spent all of his money trying to win. Even so, he was [MASK] by the end. 	PLAUS_CONN	poor
14	55	Joe plunked another coin into the slot machine. He kept trying and won the jackpot. Even so, he was [MASK] by the end. 	IMPLAUS_CONN	poor
15	56	Sylvia and Frank were gambling at the casino. They won every game of blackjack. They were [MASK] that night. 	PLAUS_NOCONN	happy
15	57	Sylvia and Frank were gambling at the casino. No one won the jackpot that night. They were [MASK] that night. 	IMPLAUS_NOCONN	happy
15	58	Sylvia and Frank were gambling at the casino. They won every game of blackjack. Even so, they were [MASK] that night. 	PLAUS_CONN	happy
15	59	Sylvia and Frank were gambling at the casino. No one won the jackpot that night. Even so, they were [MASK] that night. 	IMPLAUS_CONN	happy
16	60	Alice went camping over vacation. She was bitten by mosquitoes. She began to [MASK] all over. 	PLAUS_NOCONN	itch
16	61	Alice went camping over vacation. She used a great mosquito repellent. She began to [MASK] all over. 	IMPLAUS_NOCONN	itch
16	62	Alice went camping over vacation. She was bitten by mosquitoes. Even so, she began to [MASK] all over. 	PLAUS_CONN	itch
16	63	Alice went camping over vacation. She used a great mosquito repellent. Even so, she began to [MASK] all over. 	IMPLAUS_CONN	itch
17	64	A recruiter came to watch Paco play baseball. He pitched very well. He was [MASK] by the team. 	PLAUS_NOCONN	signed
17	65	A recruiter came to watch Paco play baseball. He pitched very badly. He was [MASK] by the team. 	IMPLAUS_NOCONN	signed
17	66	A recruiter came to watch Paco play baseball. He pitched very well. Even so, he was [MASK] by the team. 	PLAUS_CONN	signed
17	67	A recruiter came to watch Paco play baseball. He pitched very badly. Even so, he was [MASK] by the team. 	IMPLAUS_CONN	signed
18	68	The hermit lived in a cave. He hadn't bathed for months. His hair looked [MASK] and untidy. 	PLAUS_NOCONN	dirty
18	69	The hermit lived in a cave. He bathed every day in the mountain stream. His hair looked [MASK] and untidy. 	IMPLAUS_NOCONN	dirty
18	70	The hermit lived in a cave. He hadn't bathed for months. Even so, his hair looked [MASK] and untidy. 	PLAUS_CONN	dirty
18	71	The hermit lived in a cave. He bathed every day in the mountain stream. Even so, his hair looked [MASK] and untidy. 	IMPLAUS_CONN	dirty
19	72	Otto needed a 2-5 average to graduate. He learned his average was high enough. He will graduate next [MASK] with his class. 	PLAUS_NOCONN	week
19	73	Otto needed a 2-5 average to graduate. He learned his average was too low. He will graduate next [MASK] with his class. 	IMPLAUS_NOCONN	week
19	74	Otto needed a 2-5 average to graduate. He learned his average was high enough. Even so, he will graduate next [MASK] with his class. 	PLAUS_CONN	week
19	75	Otto needed a 2-5 average to graduate. He learned his average was too low. Even so, he will graduate next [MASK] with his class. 	IMPLAUS_CONN	week
20	76	Jared had a problem with food. He had basically stopped eating. He got really [MASK] after a while. 	PLAUS_NOCONN	thin
20	77	Jared had a problem with food. He couldn't stop eating. He got really [MASK] after a while. 	IMPLAUS_NOCONN	thin
20	78	Jared had a problem with food. He had basically stopped eating. Even so, he got really [MASK] after a while. 	PLAUS_CONN	thin
20	79	Jared had a problem with food. He couldn't stop eating. Even so, he got really [MASK] after a while. 	IMPLAUS_CONN	thin
21	80	The burglar was clumsy. He had set off the alarm. He got [MASK] by the guard. 	PLAUS_NOCONN	caught
21	81	The burglar was careful. He did not set off the alarm. He got [MASK] by the guard. 	IMPLAUS_NOCONN	caught
21	82	The burglar was clumsy. He had set off the alarm. Even so, he got [MASK] by the guard. 	PLAUS_CONN	caught
21	83	The burglar was careful. He did not set off the alarm. Even so, he got [MASK] by the guard. 	IMPLAUS_CONN	caught
22	84	Alan was taking his daily jog. The road was very bumpy. He [MASK] and fell. 	PLAUS_NOCONN	tripped
22	85	Alan was taking his daily jog. The road was newly paved. He [MASK] and fell. 	IMPLAUS_NOCONN	tripped
22	86	Alan was taking his daily jog. The road was very bumpy. Even so, he [MASK] and fell. 	PLAUS_CONN	tripped
22	87	Alan was taking his daily jog. The road was newly paved. Even so, he [MASK] and fell. 	IMPLAUS_CONN	tripped
23	88	The telephone company ran into financial problems that year. It lost many customers. Its profits [MASK] shortly thereafter. 	PLAUS_NOCONN	decreased
23	89	The telephone company was very successful that year. It gained many customers. Its profits [MASK] shortly thereafter. 	IMPLAUS_NOCONN	decreased
23	90	The telephone company ran into financial problems that year. It lost many customers. Even so, its profits [MASK] shortly thereafter. 	PLAUS_CONN	decreased
23	91	The telephone company was very successful that year. It gained many customers. Even so, its profits [MASK] shortly thereafter. 	IMPLAUS_CONN	decreased
24	92	Joe got bad grades and frequently got in trouble at school. He seemed depressed and had no friends. His parents were [MASK] about him. 	PLAUS_NOCONN	worried
24	93	Joe got good grades and never got in trouble at school. He was always cheerful and had lots of friends. His parents were [MASK] about him. 	IMPLAUS_NOCONN	worried
24	94	Joe got bad grades and frequently got in trouble at school. He seemed depressed and had no friends. Even so, his parents were [MASK] about him. 	PLAUS_CONN	worried
24	95	Joe got good grades and never got in trouble at school. He was always cheerful and had lots of friends. Even so, his parents were [MASK] about him. 	IMPLAUS_CONN	worried
25	96	The two countries had been at war for years. The leaders agreed to sign the cease-fire proposal. The conflict [MASK] shortly afterwards. 	PLAUS_NOCONN	ended
25	97	The two countries had been at war for years. The leaders rejected the latest cease-fire proposal. The conflict [MASK] shortly afterwards. 	IMPLAUS_NOCONN	ended
25	98	The two countries had been at war for years. The leaders agreed to sign the cease-fire proposal. Even so, the conflict [MASK] shortly afterwards. 	PLAUS_CONN	ended
25	99	The two countries had been at war for years. The leaders rejected the latest cease-fire proposal. Even so, the conflict [MASK] shortly afterwards. 	IMPLAUS_CONN	ended
26	100	The restaurant had received terrible reviews. It was always empty. It [MASK] down in May. 	PLAUS_NOCONN	closed
26	101	The restaurant had received excellent reviews. It was always crowded. It [MASK] down in May. 	IMPLAUS_NOCONN	closed
26	102	The restaurant had received terrible reviews. It was always empty. Even so, it [MASK] down in May. 	PLAUS_CONN	closed
26	103	The restaurant had received excellent reviews. It was always crowded. Even so, it [MASK] down in May. 	IMPLAUS_CONN	closed
27	104	The milk was over a week old. Felicia thought it tasted sour. She [MASK] it out. 	PLAUS_NOCONN	dumped
27	105	The milk was still fresh. Felicia thought it tasted fine. She [MASK] it out. 	IMPLAUS_NOCONN	dumped
27	106	The milk was over a week old. Felicia thought it tasted sour. Even so, she [MASK] it out. 	PLAUS_CONN	dumped
27	107	The milk was still fresh. Felicia thought it tasted fine. Even so, she [MASK] it out. 	IMPLAUS_CONN	dumped
28	108	Margot's boyfriend brought her some vanilla ice cream. She hated that flavor. She [MASK] the gift. 	PLAUS_NOCONN	refused
28	109	Margot's boyfriend brought her some chocolate ice cream. It was her favorite flavor. She [MASK] the gift. 	IMPLAUS_NOCONN	refused
28	110	Margot's boyfriend brought her some vanilla ice cream. She hated that flavor. Even so, she [MASK] the gift. 	PLAUS_CONN	refused
28	111	Margot's boyfriend brought her some chocolate ice cream. It was her favorite flavor. Even so, she [MASK] the gift. 	IMPLAUS_CONN	refused
29	112	The famous violinist was confident about her performance. She played the piece exceptionally. Everyone [MASK] for her. 	PLAUS_NOCONN	cheered
29	113	The famous violinist was worried about her performance. She made many mistakes as she played. Everyone [MASK] for her. 	IMPLAUS_NOCONN	cheered
29	114	The famous violinist was confident about her performance. She played the piece exceptionally. Even so, everyone [MASK] for her. 	PLAUS_CONN	cheered
29	115	The famous violinist was worried about her performance. She made many mistakes as she played. Even so, everyone [MASK] for her. 	IMPLAUS_CONN	cheered
30	116	The seamstress was pinning Toby's suit. She was quick and careless with the pins. Toby was [MASK] a few times. 	PLAUS_NOCONN	poked
30	117	The seamstress was pinning Toby's suit. She was extremely careful with the pins. Toby was [MASK] a few times. 	IMPLAUS_NOCONN	poked
30	118	The seamstress was pinning Toby's suit. She was quick and careless with the pins. Even so, Toby was [MASK] a few times. 	PLAUS_CONN	poked
