ITEM_ID	SENT_ID	SENTENCE	CONDITION	TARGET_WORD
1	0	Olivia bought a German shepherd. The [UNK] was unpredictable and violent. It bit her hand.	PLAUS_NOCONN	bit
1	1	Olivia [UNK] a German shepherd. The dog was docile and friendly. It bit her hand.	IMPLAUS_NOCONN	bit
1	2	Olivia bought a German shepherd. The dog was unpredictable and violent. Even [UNK] it bit her hand.	PLAUS_CONN	bit
1	3	Olivia bought [UNK] German shepherd. The dog was docile and friendly. Even so, it bit her hand.	IMPLAUS_CONN	bit
2	4	Claude rushed back to the restaurant. He had lost his wallet somewhere. [UNK] felt incredibly tense all day.	PLAUS_NOCONN	tense
2	5	Claude rushed back [UNK] the restaurant. Thank goodness he found his wallet under the table. He felt incredibly tense all day.	IMPLAUS_NOCONN	tense
2	6	Claude rushed back to the restaurant. He had lost his wallet somewhere. Even so, he [UNK] incredibly tense all day.	PLAUS_CONN	tense
2	7	Claude rushed back to the restaurant. Thank goodness he found his wallet under the table. Even so, he felt incredibly [UNK] all day.	IMPLAUS_CONN	tense
3	8	Charlotte pushed her grocery cart over [UNK] potholes. The eggs bounced around in the bag. They broke inside their carton.	PLAUS_NOCONN	broke
3	9	Charlotte pushed her grocery cart across the parking lot. The eggs had been packed very safely in the bag. They broke inside [UNK] carton.	IMPLAUS_NOCONN	broke
3	10	Charlotte pushed her grocery cart over the potholes. The eggs bounced [UNK] in the bag. Even so, they broke inside their carton.	PLAUS_CONN	broke
3	11	Charlotte pushed her grocery cart across the parking lot. The eggs had been packed very safely in the bag. Even [UNK] they broke inside their carton.	IMPLAUS_CONN	broke
4	12	The day had [UNK] somewhat overcast. All at once it started to rain. Sheila got out her umbrella from her bag.	PLAUS_NOCONN	umbrella
4	13	The day had been somewhat overcast. All at [UNK] the sun came out. Sheila got out her umbrella from her bag.	IMPLAUS_NOCONN	umbrella
4	14	The day had been somewhat overcast. [UNK] at once it started to rain. Even so, Sheila got out her umbrella from her bag.	PLAUS_CONN	umbrella
4	15	[UNK] day had been somewhat overcast. All at once the sun came out. Even so, Sheila got out her umbrella from her bag.	IMPLAUS_CONN	umbrella
5	16	Bill was house-sitting. He [UNK] forgot to feed the cat. At the end of the week it was starving for food.	PLAUS_NOCONN	starving
5	17	Bill was house-sitting. He fed the cat regularly. At the end of the week it was starving [UNK] food.	IMPLAUS_NOCONN	starving
